X,Z
531,7FF
532,7FF
533,7FF
534,7FF
535,7FF
536,7FF
537,7FF
538,7FF
539,7FF
53A,7FF
53B,7FF
53C,7FF
53D,7FF
53E,7FF
53F,7FF
540,7FF
541,7FF
542,7FF
543,7FF
544,7FF
545,7FF
546,7FF
547,7FF
548,7FF
549,7FF
54A,7FF
54B,7FF
54C,7FF
54D,7FF
54E,7FF
54F,7FF
550,7FF
551,7FF
552,7FF
553,7FF
554,7FF
555,7FF
556,7FF
557,7FF
558,7FF
559,7FF
55A,7FF
55B,7FF
55C,7FF
55D,7FF
55E,7FF
55F,7FF
560,7FF
561,7FF
562,7FF
563,7FF
564,7FF
565,7FF
566,7FF
567,7FF
568,7FF
569,7FF
56A,7FF
56B,7FF
56C,7FF
56D,7FF
56E,7FF
56F,7FF
570,7FF
571,7FF
572,7FF
573,7FF
574,7FF
575,7FF
576,7FF
577,7FF
578,7FF
579,7FF
57A,7FF
57B,7FF
57C,7FF
57D,7FF
57E,7FF
57F,7FF
580,7FF
581,7FF
582,7FF
583,7FF
584,7FF
585,7FF
586,7FF
587,7FF
588,7FF
589,7FF
58A,7FF
58B,7FF
58C,7FF
58D,7FF
58E,7FF
58F,7FF
590,7FF
591,7FF
592,7FF
593,7FF
594,7FF
595,7FF
596,7FF
597,7FF
598,7FF
599,7FF
59A,7FF
59B,7FF
59C,7FF
59D,7FF
59E,7FF
59F,7FF
5A0,7FF
5A1,7FF
5A2,7FF
5A3,7FF
5A4,7FF
5A5,7FF
5A6,7FF
5A7,7FF
5A8,7FF
5A9,7FF
5AA,7FF
5AB,7FF
5AC,7FF
5AD,7FF
5AE,7FF
5AF,7FF
5B0,7FF
5B1,7FF
5B2,7FF
5B3,7FF
5B4,7FF
5B5,7FF
5B6,7FF
5B7,7FF
5B8,7FF
5B9,7FF
5BA,7FF
5BB,7FF
5BC,7FF
5BD,7FF
5BE,7FF
5BF,7FF
5C0,7FF
5C1,7FF
5C2,7FF
5C3,7FF
5C4,7FF
5C5,7FF
5C6,7FF
5C7,7FF
5C8,7FF
5C9,7FF
5CA,7FF
5CB,7FF
5CC,7FF
5CD,7FF
5CE,7FF
5CF,7FF
5D0,7FF
5D1,7FF
5D2,7FF
5D3,7FF
5D4,7FF
5D5,7FF
5D6,7FF
5D7,7FF
5D8,7FF
5D9,7FF
5DA,7FF
5DB,7FF
5DC,7FF
5DD,7FF
5DE,7FF
5DF,7FF
5E0,7FF
5E1,7FF
5E2,7FF
5E3,7FF
5E4,7FF
5E5,7FF
